epsiode,reward
0,-20.57686284026193
1,-32.34565614402943
2,6.813937416427242
3,-16.310981839442768
4,-14.571114345841508
5,-39.80654880345993
6,-11.97061510457407
7,-38.01822844595052
8,-10.827006176527139
9,-39.65423041935205
10,8.211454484453618
11,-24.746287465993937
12,-12.301104911067295
13,-37.841229453381395
14,-2.544326078795925
15,-45.61223418894951
16,-18.696743175583237
17,-39.834942445952784
18,-13.36413105846485
19,-41.13880977596179
20,-1.4737006950249536
21,-43.5948755025291
22,-16.87789095101377
23,-35.42647816272748
24,-13.872416190617258
25,-24.516999625538094
26,-10.994814316646945
27,-23.609687737751916
28,-3.113406912990213
29,-7.8344976918963205
30,-11.566073957424896
31,-16.08061834962937
32,-2.724629916761151
33,-44.98271936037024
34,-11.622610904038346
35,-30.663927657300587
36,-11.259640173917717
37,-14.240448431993876
38,-1.3501105508240938
39,-21.351109963631266
40,-8.054941082461875
41,-16.51505717381695
42,-12.538934961947177
43,-22.09686693558683
44,-15.724050795346887
45,8.435176559742633
46,-18.54389573522255
47,-13.374246927417909
48,5.434159924718791
49,-18.994197770212047
50,-12.63324434289052
51,-33.081085644109265
52,-13.010830443690086
53,-21.815905591831275
54,-10.716703692521818
55,-21.92344192580261
56,-6.15800378249843
57,7.130937942969457
58,9.91309083651518
59,-12.451485459730627
60,-6.4639558711278475
61,-11.017982453684905
62,-13.823614546602624
63,-12.860281263655239
64,-9.410179749267021
65,-28.535712008142628
66,-14.045905872358716
67,-15.321855045209759
68,-17.850727456657292
69,-47.37607207383032
70,-13.362484665546981
71,-13.326222578720198
72,-11.20991906693089
73,-24.599223137896068
74,-11.36678948151178
75,4.858327508291723
76,-11.4014596930826
77,-20.399500868567223
78,-12.356904428073124
79,-18.14457338371093
80,-12.146107238127835
81,-22.17114444682053
82,-17.134620836716845
83,-23.40871726685065
84,-11.172601934768021
85,-16.150386996544743
86,-20.846902888706992
87,-12.522330852763885
88,-12.261500341715982
89,-15.591542562411227
90,9.135002115158297
91,-19.001451579634413
92,-13.84528949545667
93,-17.580777696550477
94,-15.296352151745591
95,-12.856691560491953
96,-7.975058950000791
97,-14.98832974350324
98,-15.544014068074262
99,-3.4004691549271744
100,7.939650383093713
101,-3.038204076670276
102,-16.54351765701619
103,4.932425234083497
104,-11.30291673312661
105,-0.9652379615350934
106,8.246862117968586
107,-10.70339121461341
108,-11.609820362517624
109,-6.864543689553185
110,6.995204667184942
111,-15.01143643269993
112,-13.233558610619202
113,-13.979831789179656
114,-14.619502758169627
115,-28.0457793464543
116,-19.54027593410642
117,-17.105286422730025
118,-18.067707208142828
119,7.4463329401060925
120,-13.9523449953372
121,-2.5881697131671593
122,-12.51580028439068
123,-16.19782201182528
124,-11.822327657469867
125,1.7903144709505945
126,7.895649375329004
127,6.93641895809018
128,-13.206116985584366
129,-13.23485747298127
130,-10.577602765145516
131,-13.393380558737405
132,-2.5248141193468325
133,-17.032615322718293
134,-20.330280554715934
135,-21.974192964412815
136,-12.456918507738019
137,3.151976346349387
138,-5.855326846782878
139,9.116600865195272
140,-14.7213467849797
141,6.319302716004097
142,-19.14466564387479
143,-16.399844182202443
144,-9.793866485844395
145,8.978762491863918
146,-11.795568655295103
147,-20.644016882217965
148,-11.243465099576616
149,-9.819708461312963
150,-2.146776263999195
151,-9.022076235249806
152,-12.234626964433227
153,-0.6552064638285796
154,-15.044538225388475
155,-18.672041476108785
156,7.8069101865729635
157,-1.2329312547325708
158,9.88839066746565
159,-13.706576846826025
160,-15.136604767513429
161,-12.86288259215354
162,-17.23224285328611
163,-7.721511022284111
164,-4.77953148144908
165,8.06928382648702
166,-12.852538535275412
167,-16.48357702148166
168,-11.775848503015231
169,-20.77335890002123
170,6.7866198892929575
171,7.503279389394702
172,-9.84076882938216
173,9.715565300474998
174,4.522038697060347
175,-4.422050820462185
176,-5.729256670753958
177,-11.989020972584711
178,5.570232404083797
179,-13.341782850729993
180,-20.326641396704858
181,-12.282096909474513
182,-12.426621393192812
183,-4.377258618089108
184,-13.601515022432476
185,-13.413029841628076
186,-8.60794481715602
187,4.23027173462604
188,-5.952399033889028
189,-9.056183349624964
190,6.466157955219418
191,-15.231643508575221
192,-12.307726139394386
193,8.82824597833089
194,-13.511248867193899
195,-13.016326250523267
196,-11.743344540765854
197,9.082207453606728
198,-9.745564856482217
199,-12.723266656950077
200,-16.837071780096196
201,9.307830860272393
202,-11.195180913434251
203,-14.054094425289488
204,-11.066976419194988
205,-16.68192615694438
206,-7.1001255443883515
207,-8.334571770254254
208,-13.444669063642632
209,-12.077969060075064
210,-13.364643819576461
211,-13.502928467778297
212,-12.473421385998503
213,-13.277076211289959
214,-7.732893164696527
215,-12.50988778973009
216,-12.577784092819755
217,-12.163822589179812
218,-14.785239931945279
219,-22.081903069786858
220,-15.606361863711404
221,-9.369280061420485
222,-13.101720955906954
223,-17.876001260051336
224,7.675082782175021
225,-19.445531110471173
226,-5.890556027194376
