epsiode,reward
0,9.323880248100426
1,-43.866400863776484
2,-10.80261798661424
3,-42.59843618435116
4,-11.394390585743587
5,-38.28292838995843
6,-11.355128743147075
7,-38.56063351054211
8,-16.36526751961828
9,-35.58926343521565
10,-11.865410433390633
11,-24.247818273603606
12,-11.445884985788627
13,-37.49698315571926
14,-11.728679227676464
15,-25.559151945431353
16,-12.547725255268173
17,-26.873210768753285
18,-11.838828855628982
19,-25.514929340091793
20,-12.33983437579928
21,3.4913370880100105
22,-12.129770464601192
23,-31.80700487964113
24,-5.064292576237508
25,-38.90440355097634
26,-15.088221075678725
27,-42.33245187143566
28,-15.540630134079528
29,-36.577030577358315
30,-10.848451512484425
31,-39.68829763819775
32,-11.179218236338865
33,-36.22732294382387
34,-12.202395327277173
35,-36.714972751602296
36,-2.1862533886865805
37,-32.20292493550745
38,-11.155624964354367
39,-34.919507979024814
40,-16.370803059600327
41,-29.86259853755744
42,9.353416120681766
43,-28.669720677639248
44,-10.854670065654432
45,-23.935618689959625
46,-12.319558628150498
47,-34.841994508406046
48,-14.305627815705314
49,-38.98749149101812
50,-29.119543425028414
51,-41.24657878673682
52,-10.95741859208019
53,-34.197836694117164
54,-11.221366858757058
55,-43.64434810704067
56,-14.388711559794592
57,-51.35206784978376
58,-10.992132277656312
59,-25.116006231565304
60,-11.35351374453474
61,-38.83406389459378
62,-12.551763206011476
63,-48.77917864470129
64,-14.938989409543982
65,-21.353006073255443
66,-11.618816776084115
67,-30.400631902895544
68,-15.335658813569248
69,-45.813225167341265
70,-13.738909525164033
71,-12.230057721391269
72,-11.244810924098163
73,-39.503159607561344
74,-16.979358684116814
75,-0.0379651449453835
76,-11.575439338877851
77,-22.129650094760592
78,-11.612898909273897
79,-21.256636169519304
80,-11.45383264134334
81,-24.973660576844544
82,-16.80565298610068
83,-40.53875231488045
84,-0.5474865804407004
85,-33.95707759019053
86,6.851493906835597
87,-31.67863592833879
88,-11.163986354493522
89,-35.02064492148672
90,-15.943287424623227
91,-4.515846569095244
92,-11.727801330095204
93,-27.117324109795405
94,-11.818157850272343
95,-45.909079146855206
96,-11.472214715201282
97,-23.346033104493078
98,-12.919462905025348
99,-29.15373761506838
100,-11.361957165084275
101,-20.235620800873832
102,-12.353889295821268
103,-46.45634882948384
104,-16.8463958780331
105,-45.34862825950429
106,-10.793837130986793
107,-56.38154345302629
108,-11.725246351882614
109,-36.04281198037298
110,-12.269270073344458
111,-40.80336606089903
112,-11.840647439301375
113,-49.66792508639899
114,-13.773809567714148
115,-52.18353667857864
116,-16.25407872268295
117,-27.15815018670431
118,-3.969828072551438
119,-44.19982820071574
120,-14.956919581688023
121,-45.44145570194914
122,-11.71238590802787
123,-44.82584313878393
124,-14.583955278378538
125,-23.548113909654067
126,-12.566366680785782
127,-16.12089390720878
128,-11.900931366673744
129,-30.897916405442913
130,-12.17956240591873
131,-16.54093492107967
132,-12.762949188796076
133,-28.95616132122979
134,-13.142825054274178
135,-45.849826470750735
136,-14.899109331321428
137,-0.5580186492730128
138,-11.481841164053973
139,-19.274108204545644
140,-10.914398983634877
141,6.46218771221451
142,-12.28163022122282
143,-23.10837477261283
144,-12.153762048111542
145,-32.68666892576165
146,-10.874033638132337
147,-39.9514217797636
148,-11.023124325699854
149,-32.98079008035556
150,-11.475109027550586
151,-18.221423176770205
152,6.1120354274433435
153,-10.858823605011098
154,-15.063668560828596
155,-19.72746670140692
156,-11.707964461565762
157,-54.07178554989919
158,-11.308757872972123
159,-52.86580029723707
160,-10.906363272151935
161,-15.00917956103529
162,-10.804979660562113
163,-27.973638956933165
164,-11.726514279362235
165,-7.783950842156477
166,-10.860345871146572
167,-42.80942034162878
168,-10.774659238788905
169,-50.74667721497696
170,-11.889342324384547
171,-33.27093034298915
172,-10.897062589476187
173,-38.62530232609037
174,-11.328973656778617
175,-16.15291779843915
176,-11.819826872304525
177,-53.638880677757335
178,-11.642058515677009
179,-53.15386783378724
180,-13.145697244137477
181,-47.356218565750694
182,9.781094871866777
183,-11.656642912741113
184,-12.155118515985064
185,-51.01617337588521
186,-15.926768413125147
187,-32.73650512564206
188,-11.963595206449163
189,-35.433690473515334
190,-13.684533801621125
191,-44.64261971994361
192,-14.834295036632948
193,-14.306349489039281
194,-16.660311552429825
195,-35.17204848980639
196,-16.794052086278246
197,-28.315975015269302
198,-12.059084921631992
199,-53.933051736876614
200,-11.641611724251423
201,-48.1822513440788
202,-19.905451700652634
203,-30.99561048029704
204,-11.833317114516841
205,-24.54026075970124
206,-12.414233736922998
207,-47.82420313552023
208,-13.017558632916007
209,-47.656970818166116
210,-14.148969804567121
211,-43.87138237782386
212,-11.924000183329444
213,-5.967660701328469
214,-11.629793919104957
215,-43.528262757048516
216,-11.290280978458927
217,-16.41767908060553
218,-11.625953410687119
219,-45.10332204283804
220,-29.91802115529461
221,-20.059133700258716
222,-13.64854217836124
223,-26.183729728543426
224,9.508047969503933
225,-18.825973415046487
226,-11.86525324343476
227,-15.248088876453336
228,2.1106378274489
229,6.731137328566122
230,-17.358918556789458
231,-32.47442658576548
232,-11.725836237303087
233,-15.52034158489121
234,-12.726493502533415
235,-20.244843478650154
236,-10.881230319320608
237,-27.302136560489128
238,-11.686094532591216
239,-27.68251182626785
240,9.617770680664448
241,-25.163135716745224
242,-11.146467861997307
243,-14.002298628115067
244,-11.007880293470452
245,-27.274627712906707
246,-13.571763736328508
247,6.165457880209878
248,-12.143225890682114
249,-20.121195416654867
250,-9.593251600644576
251,-16.38514725948683
252,-14.422071075210166
253,-26.840351589998605
254,-11.764941547714589
255,-10.640832137154176
256,-11.803254737100117
257,-26.691920806961015
258,-10.897977520316669
259,-16.851886779688723
260,-6.5549862200366285
261,-38.02077617868599
262,-15.437959431444519
263,-24.56380971466138
264,-10.863035238073468
265,-12.80016715744444
266,-15.621588337355533
267,-31.922063792258292
268,-13.338582452306529
269,-45.62285931695256
270,-11.460705678364434
271,-17.86547472905033
272,-11.069890368922536
273,-15.774243008453833
274,-10.974542074025553
275,-26.172111127653892
276,-10.71497056850571
277,-18.405625462868294
278,-10.809412260104233
279,9.420653655181974
280,-14.051935897721433
281,-13.307166480431176
282,-24.754430964540028
283,-13.220843913489766
284,9.330646024645656
285,-52.58023917639399
286,-12.384108005575762
287,-12.754491535133631
288,-18.196678433663173
289,-15.833293616129549
290,-10.64386309291855
291,-17.02507362493529
292,-8.477437602220885
293,-23.94541828672161
294,-12.247956168594559
295,-18.07507008667921
296,-11.246205862753513
297,-16.916148864308497
298,-11.41767518558433
299,-12.669309898243602
300,-12.310036230403124
301,-14.24916330868863
302,-11.460478295496078
303,-21.23480919835123
304,-14.84109560118388
305,-22.67369115389492
306,-11.578512367680363
307,-20.948841828478503
308,-11.187545224304955
309,-21.669588505263807
310,-11.294779837554808
311,-15.878597629337232
312,-11.223779888010784
313,-22.611911940320898
314,9.304786833095035
315,-18.748109143150103
316,-11.174609989877764
317,-23.75291676409543
318,-17.057929933812908
319,-20.961952617860256
320,-11.786675520756983
321,-24.893429337120182
322,-11.309156899910818
323,5.955702566008136
324,-11.448158277726867
325,-15.10352894767382
326,-11.57254045645612
327,-1.3643659288639445
328,-15.079754950003696
329,-21.222049950747262
330,-13.900878018251579
331,-20.691788166515472
332,-13.488007519018467
333,-42.66528361604908
334,-11.465734243809486
335,-14.152957716732466
336,-12.524567445267104
337,-13.018508361124367
338,-11.56714600214861
339,-15.484942869668686
340,-14.069177413810966
341,-15.10654717085006
342,-11.377799640390483
343,6.533476738060405
344,-11.750182444715525
345,-24.8690545408721
346,-22.96647629523719
347,-44.50971224806299
348,-11.166541961394786
349,-22.933171396825003
350,-13.500152106681577
351,-20.62785234984062
352,-11.10313004104229
353,-9.329156900556073
354,-11.739148378509489
355,9.150812303845957
356,9.861807691077434
357,-40.44344515385505
358,-11.127829857363004
359,-22.650842913566
360,-11.215286823486878
361,-15.755791708101938
362,-14.33151975427449
363,-14.318090668637065
364,-11.239583483244159
365,8.223674174348893
366,-14.126082571543767
367,-14.482672349565757
368,-11.41526158097923
369,-17.317453194347443
370,-11.152562933800288
371,-15.724157116711222
372,-0.15282933127507745
373,-16.389355084226835
374,-11.465649176721126
375,-26.28708281088304
376,-11.494004094767678
377,7.698188161193117
378,-11.317836555406053
379,-18.289260404548394
380,-13.77350718033357
381,-17.174202096655385
382,-15.207275148889606
383,-22.047621933209324
384,-11.894912910864564
385,-13.587552004804822
386,-11.436095194441327
387,7.841700818479471
388,-12.453486834114436
389,-22.698912410397643
390,-12.732269752684328
391,-16.87936388673257
392,-11.533245530256925
393,-15.221454777045553
394,-13.599199794415794
395,9.097820905373652
396,-14.553966196387188
397,-19.767233380360352
398,-15.599494008542434
399,-15.39178466984954
400,-11.461197618259025
401,-14.846021318086054
402,-11.254149134687575
403,-16.513030501569894
404,-12.34543588542299
405,-18.537429068182213
406,-8.410369313834885
407,5.448203271227902
408,-11.134692539150551
409,-23.21447017990569
410,-13.940306788667897
411,-15.601102267045757
412,-11.771713803370483
413,-14.881934911093243
414,-13.33868722359988
415,-14.850212744384756
416,-11.219079099446887
417,-46.445917497145984
418,-11.869964900069442
419,-12.984791972039535
420,-11.629079264329112
421,-16.680771936973777
422,-12.066000883422236
423,-19.27828931483718
424,-2.95975922360019
425,-18.27355823897857
426,-15.257141314907464
427,-16.886132122977546
428,-11.223522795530084
429,-18.837172225274834
430,-11.230675293771132
431,-41.429265418060275
432,-11.186285858928677
433,-13.353111066435867
434,-13.526866785070503
435,-16.553920555269144
436,-31.036562821504567
437,-15.99648115453457
438,-14.166047675581042
439,-17.60421825869194
440,-10.824320231687901
441,-26.898471492578782
442,-16.49060556825453
