epsiode,reward
0,-10.710998413765775
1,-48.83518386433011
2,-11.151381013145729
3,-38.18952876488679
4,-12.009141858286913
5,-51.36037046787601
6,-11.46753168233498
7,-39.175576877832754
8,-11.911944122473681
9,-28.655171612221757
10,-14.89047363470489
11,-34.35037047143496
12,-12.18123963690866
13,-44.01200316723217
14,-11.50921164859565
15,-44.39090307165066
16,-12.056250390493199
17,-48.67386525675267
18,-11.983086516834708
19,-33.1812831922544
20,-15.250056322183235
21,-50.827550062715
22,-14.6631428988666
23,-22.284275555975103
24,-15.152849785179775
25,-51.460428962745915
26,-6.4665135820395605
27,-38.32625898769803
28,-11.752191784147003
29,-5.871521906538414
30,-11.836213922691911
31,-48.69584204752039
32,-12.075243714988073
33,5.54775468541032
34,-10.975115570421417
35,-28.929040775128186
36,-9.920055729468295
37,-28.835346198484803
38,-10.914854431439172
39,-15.189404261033639
40,-7.702286780097626
41,-18.04525596560626
42,-11.188120589232119
43,-23.473885069523917
44,-14.5001201473167
45,7.064666193659461
46,-6.614630781649497
47,-41.377141388141624
48,-12.873202871183052
49,7.878942997668069
50,9.733539711095773
51,-8.907490157444627
52,-11.189639516742734
53,-13.400940401678735
54,-11.414050668857623
55,-14.376819197139623
56,-11.983953517518874
57,-7.101785021774992
58,-11.388143818276122
59,-44.63354082633811
60,-11.659919186911527
61,-31.37886128627167
62,-6.644251582305772
63,-14.19355390310176
64,-12.0679303977953
65,-13.986913788015832
66,-13.886160105756252
67,-26.052604444641858
68,-7.5911260920218355
69,-40.94998787854996
70,-8.902294815414953
71,-13.608038068317786
72,-9.523472421072144
73,-12.239687949246644
74,9.762078922283969
75,1.2388605577102645
76,-11.085267491470454
77,-18.802336444263112
78,-11.181851257903885
79,-13.52421735447837
80,-11.440934427911918
81,-18.645517946111845
82,-11.302868178732115
83,9.299366843777657
84,-2.421801785734906
85,-21.41129166813496
86,-13.135549020942829
87,-31.60949163601928
88,-10.891906220323632
89,-15.77887933988266
90,-12.749535864655181
91,-15.546590945698608
92,-11.834551403055753
93,-15.04748721952811
94,-13.725958317276792
95,-21.19143814212845
96,-11.778166925454688
97,-12.394680654542254
98,-4.832588066551316
99,-16.657315792291733
100,-13.02129106252168
101,-20.497344339357007
102,-10.805167965480104
103,-20.5892466470521
104,-8.023264734729214
105,-13.518752557198379
106,-1.1132875385989776
107,-5.175568386378448
108,-11.019889634244405
109,-16.369163673308897
110,-29.22888889546554
111,-19.390266592189768
112,-12.189152626435794
113,7.91462611148946
114,-8.55781365967492
115,-13.147022428035083
116,9.775728729223536
117,-18.931410098869122
118,-7.0526123642380565
119,-19.948245306588284
120,-16.259370161092246
