episode,reward,opponent
169,-11.048340313906301,agent3
170,9.096720626648082,agent_trained_vs_league2
171,-12.51268821370913,agent_trained_vs_league1
172,8.13625496407645,agent_trained_vs_defense_bot
173,-12.934012742687306,agent_trained_vs_league1
174,8.635601248076657,strong_bot
175,-12.514831269289276,agent_trained_vs_league1
176,0.0,agent5_shit_agent
177,-28.727243794791143,def_bot
178,8.036902291500962,agent_trained_vs_strong_bot
179,0.0,agent_trained_vs_attack_bot
180,-13.577604989939317,atk_bot
181,-18.627707094530653,agent_trained_vs_league2
182,8.420892097675548,agent_trained_vs_strong_bot
183,-15.890446751677274,agent_trained_vs_defense_bot
184,-12.11385698121446,agent_trained_vs_league1
185,-12.711558026056245,def_bot
186,-12.190092973577068,atk_bot
187,-14.772461101860248,agent5_shit_agent
188,-10.908152525994275,agent3
189,-13.3840023101005,weak_bot
190,-16.12646469532763,agent_trained_vs_attack_bot
191,-11.451011083609245,agent_trained_vs_strong_bot
192,-24.90533752194366,prev_self
193,-10.861145628345,agent3
194,8.799374508781977,agent2
195,9.002795952803199,agent_trained_vs_strong_bot
196,-4.675173478553983,def_bot
197,-20.154784460348843,prev_self
198,7.738204287798895,agent3
199,6.624582719245781,agent_trained_vs_league1
200,-11.37517379208998,agent4
201,3.2182279434783334,agent5_shit_agent
202,9.366772202700272,agent_trained_vs_league2
203,9.227122978234528,prev_self
204,-11.474728067020513,agent3
205,-7.698662821547858,def_bot
206,-3.0996995588500784,agent_trained_vs_defense_bot
207,-11.725031983102241,agent_trained_vs_league2
208,-13.183030526892388,agent_trained_vs_league2
209,-15.491549619510543,agent4
210,-22.95355718469109,agent3
211,-12.182873413075459,agent2
212,-25.677957631735143,agent3
213,0.0,agent_trained_vs_attack_bot
214,-12.686858710161719,agent4
215,-11.811301388566752,agent2
216,9.361032576773095,prev_self
217,-21.852589416082527,def_bot
218,0.0,agent_trained_vs_attack_bot
219,-2.3445610181935823,weak_bot
220,-11.900014967233163,agent5_shit_agent
221,-11.89744287958959,agent_trained_vs_league2
222,-5.313706195249652,agent_trained_vs_defense_bot
223,-16.142586935761813,agent3
224,-10.399738873156716,strong_bot
225,-15.53906845835548,agent5_shit_agent
226,-14.308993930957921,agent3
227,-15.657138246599105,agent5_shit_agent
228,-17.72891723831809,agent_trained_vs_defense_bot
229,-21.501317506594866,weak_bot
230,-15.172334377485242,agent2
231,-13.511602389043238,agent3
232,-22.234308540058542,agent2
233,-10.854837934108373,agent_trained_vs_league1
234,8.963836234156496,agent_trained_vs_defense_bot
235,5.1752853724618175,strong_bot
236,-11.50731858304909,agent_trained_vs_league2
237,-19.465924134504245,agent_trained_vs_league1
238,-11.685175171910759,agent_trained_vs_league1
239,-23.84908563085546,agent_trained_vs_league1
240,-10.751657215673369,agent_trained_vs_league2
241,-11.258654701489048,weak_bot
242,-18.84882102243799,agent_trained_vs_attack_bot
243,-5.4461621784895335,prev_self
244,-21.823130338943347,agent3
245,-0.8504163762600885,agent_trained_vs_defense_bot
246,-19.4179057754733,agent4
247,-11.951560503855639,def_bot
248,0.0,agent5_shit_agent
249,-28.30404687853889,agent_trained_vs_defense_bot
250,-10.674279688363224,agent3
251,-15.117387460043386,agent3
252,-14.939297697715414,atk_bot
253,5.1013114099481935,agent_trained_vs_defense_bot
254,9.435261315611259,weak_bot
255,-14.257255782472551,agent_trained_vs_defense_bot
256,8.838479779064752,atk_bot
257,-10.790138379554005,agent3
258,-14.663887362420905,agent_trained_vs_strong_bot
259,-0.09997173626628422,agent_trained_vs_defense_bot
260,-13.2941058274863,agent5_shit_agent
261,5.541391380185173,agent2
262,-16.527422334540045,prev_self
263,-25.489774281966792,agent_trained_vs_defense_bot
264,-12.918037990166544,agent_trained_vs_league1
265,-14.527966661550764,prev_self
266,-21.907626366084315,agent_trained_vs_attack_bot
267,-15.209857933146731,weak_bot
268,8.871087857702,agent3
269,-8.68025390055471,agent_trained_vs_league1
270,-9.23687048953475,agent_trained_vs_defense_bot
271,3.5504057685028503,def_bot
272,3.2712314847515342,agent_trained_vs_strong_bot
273,-8.980752535384008,def_bot
274,-12.810712727712973,agent_trained_vs_strong_bot
275,-28.55027185062225,agent2
276,-10.756704891853989,agent3
277,-11.73852148758574,agent_trained_vs_league1
278,-11.938513064495332,agent_trained_vs_league2
279,-11.560770323373921,agent3
