episode,reward
0,9.481014682519051
1,-49.049220941845164
2,-15.665412773134227
3,-53.78947508192231
4,-11.239621828269861
5,-34.823628534861
6,-13.382149606156306
7,-46.74405711555614
8,-14.043531171080376
9,-55.912154278384854
10,-11.252234100933398
11,-45.88585346625028
12,-16.675922677398685
13,-39.423675483892445
14,-12.292937803326478
15,-44.3409933713998
16,-10.980536866906201
17,-33.51618435007344
18,-11.551280187239332
19,-46.55741815442504
20,-11.321863859840537
21,-52.044430076307094
22,-10.869414408332862
23,-36.94165732620941
24,-11.693221729805117
25,-45.05768342158286
26,-26.075843760523316
27,-43.71765394369985
28,-12.743085459061259
29,-51.53608593597696
30,-11.14670813247358
31,-37.949499042178566
32,-5.168549825276942
33,-35.078273945276706
34,-11.305382327915662
35,-27.842207177472567
36,-11.285946776386751
37,-13.631629966727505
38,-10.91951984919216
39,-22.16240105156621
40,-4.863031042444322
41,-19.217350775599243
42,-13.336493993994981
43,-33.40477421342251
44,-13.50501526430716
45,-13.315809587534872
46,-10.868157362230864
47,-12.52314776359033
48,-11.806105883843552
49,-33.22594031560493
50,-6.695510913247086
51,-15.307104445919707
52,-12.366858530750324
53,-16.36686648827304
54,-10.895360021866008
55,-25.43856393458321
56,-12.108827834638713
57,-15.944098480287595
58,-14.45559086971302
59,-15.474711890191402
60,9.73164508636523
61,6.449248535650978
62,-11.176086065580316
63,-15.743540838567267
64,-11.329343369083368
65,5.857349313516468
66,-13.16242926235251
67,-13.822309625488431
68,-10.951356940683521
69,-15.583852186868707
70,-13.49621826538791
71,-24.64954005802473
72,-7.126249321767295
73,-13.553823723153819
74,-17.14277733881801
75,-16.449975202160836
76,-6.523269074040177
77,-11.229908496477503
78,9.884906846761048
79,-20.158346912567083
80,-11.095653332228798
81,-17.84717484194349
82,-11.260220540537702
83,-19.56733364329908
84,-5.4399313707082495
85,-21.369010655651216
86,-11.368880942506236
87,-18.17422194025913
88,-11.400920738017934
89,-17.044263673629185
90,-12.41855917387399
91,-17.09946182815435
92,-19.023200360311687
93,-16.198177330774318
94,-16.75375167244431
95,-13.373955854376877
96,-11.317498231036604
97,-22.050488928551307
98,-14.163323424877692
99,-19.640149796961573
100,-12.209808831429777
101,-20.723464218195037
102,-4.848077050439437
103,-11.971096370687674
104,-11.255938100733433
105,8.837537170127282
106,-11.2226861336225
107,-8.937877546081362
