episode,reward
0,-10.914406608421016
1,-23.79437372962138
2,-20.635318389291257
3,-16.13260358829324
4,-18.968251897118517
5,-37.051002727398405
6,-12.991712893875766
7,-46.1345114623005
8,-14.833558956954661
9,-25.77226258205878
10,-0.6281268125560862
11,-28.44938367157278
12,-12.419959578128712
13,-30.592193538384823
14,-11.595343924870157
15,-36.22816135893623
16,-13.557945718711544
17,-30.461175261948686
18,-6.4438125547631815
19,-38.319492991574286
20,-8.599538756474598
21,-39.92635329070444
22,-9.566935883869123
23,-37.64457098330355
24,-7.444349401923481
25,-43.53570999528007
26,-10.954019492766886
27,-21.137175576383544
28,-11.05475792564797
29,-37.44934407216071
30,-12.880443826911332
31,-20.16709993242786
32,-11.110069882338214
33,-18.800464444338065
34,-14.719037262672858
35,-14.770389008539066
36,-7.772715588228666
37,-30.41340329181405
38,-12.116092033175981
39,-18.498672363392018
40,-12.824955682164083
41,-13.430373218244192
42,-7.945794756835549
43,-10.757720676029882
44,-7.099580711042859
45,-18.814389993970273
46,-14.235806814235183
47,-25.60793675302062
48,-11.342112905225871
49,-14.123248059908883
50,-6.2448569977513495
51,-14.255375122742096
52,9.63053437138867
53,4.63701332554405
54,-10.997387212629334
55,-23.812192284232722
56,-3.8359857415847025
57,-8.490506798909902
58,9.503189010805317
59,4.123550560446207
60,-14.154976233586563
61,-12.357162945400333
62,-11.305563763761768
63,8.809268825713518
64,-7.750514006100663
65,-16.972364875535945
66,-12.599421299335589
67,-16.825786610331882
68,-5.952708417334717
69,-9.296850951151745
70,-11.042140782881987
71,-28.758038787032515
72,-11.2334551407832
73,-14.815341322630893
74,-2.3673076246235314
75,-19.75405999924944
76,-11.546778065413243
77,-15.273314002582921
78,-4.7226248083461595
79,-2.1649494021430833
80,-10.868293959350613
81,8.896877724794193
82,-10.958563350880842
83,-17.64187944333567
84,-10.67986565185072
85,-13.534032785869782
86,-23.86765154331111
87,-22.85167909182557
88,9.335864129360473
89,-19.079967541918045
90,-10.86489112450384
91,8.832300911169067
92,-13.502733482840764
93,1.5996596721659682
94,-15.54714049728923
95,-12.940889847445781
96,-12.135936743326305
97,-19.43876187810547
98,-12.47025313978285
99,-13.006257890499242
100,-8.25926026094057
101,-16.989446249911673
102,-10.977311237066965
103,-18.806436924533752
104,-10.784662011952038
