episode,reward
0,-11.144848355700427
1,-1.924656860910641
2,-10.990632924522952
3,-26.150129802276588
4,9.247907168119845
5,-32.15975827427786
6,-10.991702303380867
7,-40.90156692453775
8,-11.026982053080818
9,-15.271233034186913
10,-12.000340065694592
11,-20.537576470507087
12,-17.287611735733545
13,-18.31286580509211
14,-12.25774417747094
15,-30.22266415481535
16,-15.047542400654201
17,-26.111952499894407
18,-2.3227955506110436
19,-21.0480258718424
20,-11.154528051381583
21,-13.768972161301605
22,-21.222569457862345
23,8.399975683800923
24,-12.80105651062524
25,-19.273690521871224
26,-11.860814073085363
27,-14.277503112952632
28,-10.871942247418826
29,-26.379514087554153
30,7.360005046784579
31,-26.05882520433836
32,-11.06076590543341
33,7.53766710616002
34,-10.695150268352645
35,9.258199336801953
36,-10.958488095108377
37,5.673067907967916
38,-10.556473219980578
39,-18.499158207290233
40,-11.128647889397094
41,-13.250884478249816
42,7.413599591387035
43,-18.560439307051922
44,-18.15451866399656
45,-23.868395230834615
46,5.966896097218016
47,6.380151868855507
48,4.767626792777245
49,-22.908975327819167
50,-10.855875756213445
51,9.548848167224358
52,-10.712614885918516
53,9.44122519910899
54,-11.118021721063954
55,8.406375152084252
56,-5.692022295447993
57,-17.035249650584248
58,-14.37625082422994
59,5.53296487823206
60,-14.275841680963541
61,7.3625900764360885
62,-14.42794054877907
63,5.881796158802564
64,-10.815237475926208
65,-16.624214045658196
66,-10.692077712868043
67,-8.100269556398622
68,-11.285893374354165
69,-13.953407747954996
70,-12.552195720303096
71,-19.424855935088587
72,-12.185626151456624
73,9.26571666311638
74,-10.72399114191372
75,-15.537574120568502
76,-10.976098156481212
77,-12.6703477248144
78,-9.313313601645863
79,-16.721002405552902
80,-10.152797924287526
81,-18.306898434472792
82,9.663415679024421
83,-10.707521380705153
84,-10.67928802977841
85,-13.55502785093621
86,-17.07780871446588
87,-2.0656856100218053
88,-10.564450431576006
89,-13.302229834661087
90,-15.167813402475018
91,8.967106598153023
92,-9.142358856498058
93,8.924129385626065
94,-11.739855709564326
95,-13.349183573101982
96,-12.25462349636421
97,8.89032133151942
98,-11.87050784008253
99,-23.284413687391375
100,-5.019571664490575
101,7.701764144054355
102,-11.510742862892151
103,-12.633321604477342
104,-10.867462149509386
105,-12.388422656078204
106,9.32537107080725
107,-12.26190118533843
108,-11.768777228843915
109,-12.958426379413236
110,-5.174297584388132
111,-13.066543995131074
112,-10.722707170613813
113,-12.373651958511282
114,-11.551643406519993
115,-22.07063769355817
116,-10.78353041231725
117,-13.438902144026706
118,9.455286869243594
119,-13.058727190195327
120,9.661985538127139
121,-14.726845908836047
122,-16.307456338892955
123,-12.125996166907726
124,-10.802637769481004
125,-14.645824098406301
126,-7.475390958668411
127,-11.46107988649261
128,-10.83539425200657
129,-19.104967342071326
130,-11.246065086993145
131,8.7232447229492
132,-11.963171452189352
133,2.4779393136284487
134,-10.702871022658073
135,-10.886662673263245
136,-11.268554432845049
137,-18.837542732192823
138,-13.563118182345496
139,6.7763205623920895
140,-15.336293807213789
141,-14.855235599758487
142,-11.093472584933584
143,-30.509370049697463
144,-4.945472148926428
145,-13.825822572380648
146,-4.831614267602434
147,-7.101081405335174
148,-6.023735747191794
149,-12.09335405964371
150,-10.635571047661998
151,-6.831355185972462
152,-12.839151937811462
153,-14.438635397667007
154,-10.77356698001664
155,8.928719337917704
156,-10.743152579597318
157,-22.072047961339585
158,-10.655591363217438
159,-15.939896793227613
160,8.50265511719572
161,8.158306426376868
162,-10.843216877736973
163,6.406608865358421
164,-13.008643382411297
165,-17.22901392642875
166,-14.849359605002325
167,-24.781876864547748
168,-11.50682039724811
169,-19.485761564297796
170,-7.469229944635523
171,-18.760496625731193
172,-11.912639952495484
173,8.557898233640763
174,-11.022308153135265
175,-15.384986947542195
176,-10.38991750429001
177,9.274947990429688
178,-13.36130373323884
179,-6.898207264201259
180,-10.911845839106187
181,-13.78693675285229
182,9.711679039499494
183,-7.470563992255927
184,-10.766423028261894
185,1.4954810946747727
186,-10.692409253973874
187,-16.183567683481648
188,-10.853239025827099
189,-19.378271409560966
190,-10.999315926140662
191,-17.519038725156758
192,-7.35791662973743
193,-15.307802337234348
194,-10.727045147505454
195,-20.504467470445206
196,-10.82314394644405
197,-16.619128578150423
198,-10.687689967523168
199,-18.62285217578992
200,-0.41474451759967706
201,9.028535963118408
202,-7.023170842286419
203,-13.334810098322741
204,-10.818855369073354
205,-21.076793816366123
206,-7.770792123603205
207,5.302193386563107
208,-12.37706931156493
209,-5.631591282502403
210,9.264358537364382
211,-13.318886655375755
212,-14.053304777425675
213,-10.980178368931929
214,-10.732918656520937
215,-17.905623601242212
216,-12.657549056320448
217,8.30653750656722
218,-10.910428383804941
219,-11.679659619576928
220,9.866878001900067
221,8.394570385414735
222,-9.818071987429203
223,-16.936169198599337
224,-12.37139278829892
225,3.1397777910555815
226,-11.519200826024683
227,8.631250725243136
228,-10.829500380597375
229,-16.793068564736682
230,-13.456137094824498
231,-13.246146936504568
232,-10.691804561026377
233,-8.923808042175887
234,-14.14214551668638
235,-12.38838625940691
236,-11.281214815421148
237,-7.683599397353076
238,-7.148688358767849
239,-12.698806224755996
240,-5.153158638860712
241,-14.512277651138703
242,-11.149895332644416
243,-14.814387747695204
244,-12.245516785617774
245,-13.948606425734628
246,-10.846173241107456
247,8.157464496934308
248,-10.880573834243098
249,-12.49173552462327
250,-13.578122602530213
251,-12.120816711248489
252,-4.546514869826839
253,7.133382120440377
254,-11.440546237901378
255,4.757768551080145
256,-10.75842563279833
257,-1.137466873629731
258,-11.73386693849549
259,-12.670958809215584
260,-11.534426101807696
261,-21.95283660202976
262,-12.463018124897015
263,-14.38367192299307
264,5.860000337653895
265,-13.520002879288644
266,-10.680842661619808
267,-16.179714294436522
268,-14.821370843962839
269,7.952508779549371
270,8.10896815241872
271,9.173773382510197
272,-14.036291891500085
273,6.940265775201984
274,-13.109722012993341
275,8.773455479861452
276,-14.68372316427766
277,7.314692065656949
278,6.6598972692147544
279,-0.7433251024313143
280,-11.796715303842578
281,4.79303342297517
282,-5.218316045910843
283,7.94057475045852
284,-5.131308158720401
285,-15.371630017329679
286,-11.253728237347264
287,-19.40556767190377
288,-12.95867743803494
289,1.9296721612117196
290,-11.352804906139395
291,-13.668661756090632
292,-5.337791936588715
293,-16.18627493331337
294,-10.573535559862021
295,-15.719445267883179
296,-13.756188101477163
297,-4.297110512591036
298,-7.923341604926564
299,9.327621112196754
300,-7.106923531023813
301,3.156232018762136
302,-12.103199156818341
303,7.477588932459062
304,-11.500191762937714
305,-12.068428183924562
306,-10.703114639411037
307,7.742974246781813
308,-11.786279730116348
309,-11.325972318631237
310,-7.365404535341747
311,8.592695285794285
312,-5.187838483640021
313,8.313927508885667
314,-14.131050534959567
315,-14.211403530574977
316,-10.942239770073442
317,-2.837111254652383
318,-11.61003205416309
319,-12.336339236784047
320,7.191735994190292
321,-14.341424400688624
322,-5.760148811950804
323,5.423753504139842
324,5.012285543283901
325,7.29938562911571
326,9.690108904571034
327,3.4983332608981152
328,-12.37824331678593
329,-12.733327212917912
330,-10.713907421242594
331,-12.682811352275886
332,-11.397889009038177
333,8.87041967780904
334,-16.479331028949826
335,8.09666912821824
336,-20.331631238762895
337,-8.126989837256485
338,9.765981940492138
339,-1.4957473779868153
340,-9.562156384383545
341,-5.125972371674027
342,8.614716279892248
343,-16.23654756179948
344,9.615312816211427
345,6.5239525039143675
346,-16.12541475534307
347,-31.616289060187228
348,-10.610073011040138
349,-12.838484411534825
350,-11.022170981646298
351,-14.44911503935915
352,-15.592099173117866
353,-10.574973002623544
354,-13.740223461487787
355,-12.25925666166645
356,-11.898333428457205
357,8.0517961142462
358,-12.113484191757138
359,-3.6246321865618274
360,-8.253032257832826
361,8.085479650860153
362,-7.936493742322474
363,-19.094094971659924
364,-8.212560788594645
365,-12.88953256041005
366,-15.604262219185603
367,-11.277633384789686
368,-10.776192717501964
369,8.509975550730251
370,-11.355442930167882
371,-3.4152275758712114
372,-13.33046504468855
373,-14.027684293039895
374,-12.288242708129088
375,-35.91057387165906
376,-8.469740994722274
377,-10.257920922786424
378,-10.808883526188879
379,-14.520979878437283
380,-8.845037373842143
381,-16.690219269194635
382,-16.659372048565977
383,8.556208335919965
384,9.672233541614416
385,9.079588924432985
386,-13.010243975395827
387,8.53514024041624
388,-13.271971738062698
389,-15.378765198572156
390,-13.58549671454159
391,-17.507407580651492
392,-14.315584706325858
393,-15.293274151610552
394,-10.618990166627285
395,-5.095460617858566
396,-12.374750913623712
397,8.650937116100582
398,-10.880630907108992
399,3.1161938229360526
400,-10.699192263631506
401,-14.411712947917408
402,-7.253033400949545
403,1.757470362063927
404,-6.178263307608723
405,8.268264300812753
406,-6.576937699949253
407,9.018839484506357
408,-11.130647260095781
409,-10.643565859645562
410,9.761045412719023
411,-12.092604130828173
412,-12.404207655895949
413,-18.623714340900037
414,-13.739374883252017
415,-21.19775299129998
416,-9.851515675797481
417,1.9556375939671096
418,-4.242820523972874
419,8.173221606147733
420,-11.865189380177137
421,5.466220473415786
422,-15.108352931016704
423,8.916611118522525
424,-4.505865742091677
425,-5.241209940882323
426,7.368625805080734
427,-4.2892432474573265
428,-21.3555112325873
429,8.136031740340131
430,-0.5555191864181
431,-15.06718495571589
432,-12.99790570541206
433,8.460950667933245
434,-10.686227681689006
435,4.229676004720665
436,-7.158343264582429
437,-15.899558099139774
438,-7.006347821600187
439,-4.035700681365665
440,-13.693596122097368
441,-12.570815812783703
442,-11.804116459719108
443,-13.815622698758476
444,-8.963412382076003
445,8.602344784595893
446,-7.642125374978212
447,7.55559845223425
448,-17.20177624073869
449,-15.797876201524122
450,-10.99995634440253
451,-13.379780356887569
452,8.885166794419453
453,-17.676808166763976
454,-10.750864031204177
455,-4.634197047096776
456,-16.492141982584833
457,-9.086465910332215
458,-5.432583558190443
459,-14.580937930488107
460,-12.755059940554073
461,8.21891148689857
462,-12.192500491836995
463,-12.193282134865452
464,-14.066025964037559
465,-5.217192515230394
466,-8.342707683036467
467,1.2176257707749638
468,-12.254894007731808
469,-6.97921157776655
470,-8.987977918206415
471,1.634474063192913
472,-21.710227588201697
473,-19.521882184395515
474,-11.71721331499222
475,8.00863781586508
476,-5.122564024028999
477,-4.631689321402115
478,-13.735334940164341
479,5.895112288257587
480,6.229708402798548
481,-16.158891953493733
482,-8.777023543665518
483,-9.4146944333546
484,-5.8091736379957535
485,-12.442926388514353
486,-10.866258956765698
487,8.259987660003269
488,-5.470030716086527
489,-20.717247355523668
490,7.6179929606614225
491,-15.035062548051233
492,9.394426686496624
493,7.641307579275617
494,-16.859833926406118
495,-8.571481988061516
496,-11.94778730745393
497,-17.68512667142288
498,-11.98568313469968
499,-15.490466321320017
500,-11.225748586137803
501,3.883249880300209
502,9.838836828082977
503,7.006782540508626
504,-4.877598276148946
505,8.308633627616317
506,7.089245200287314
507,-7.301025058749586
508,-11.479421779078423
509,-14.630053660181204
510,-10.807773395161565
511,-16.306834605085037
512,-5.072890607927413
513,-8.972524668083377
514,-11.225363720519727
515,-17.7468169807954
516,-11.625207398449309
517,-14.917892256377078
518,-11.540754378074121
519,-4.183780560835359
520,6.108582636950198
521,-20.911034719554934
522,-10.715097864502486
523,-14.951196244343103
524,-11.73987638126802
525,-17.442462326104504
526,-2.8002245938137835
527,-13.173829366874138
528,-8.876429734936057
529,-12.392592794991383
530,-11.333714706949738
531,-10.386266970731493
532,8.310491711677258
533,-10.251179094730494
534,-8.02071183039195
535,-14.6940330218158
536,-4.042987325761868
537,6.836015325896523
538,-10.997626404959037
539,-13.347466508048273
540,9.591769572114629
541,-4.909648423412154
542,-3.987086609616242
543,-22.13017802152902
544,-12.874582145921734
545,8.301967541215886
546,-5.144158632407636
547,3.254730581946218
548,9.412616619902733
549,8.99223046483958
550,-13.72565583409656
551,-6.942446202424318
552,-4.319701339725882
553,-17.11583199192951
554,-11.84894071769959
555,-13.406968433541074
556,7.960839130704829
557,8.228879915320656
558,-12.734113000355526
559,-12.276186768606227
560,-9.318916777823622
561,2.3716245698266807
562,-4.949746732336007
563,-11.387300413081713
564,-4.866300847040121
565,5.527671376550058
566,-11.946134530587399
567,-11.646800779839605
568,-11.868906452443225
569,-16.147141887177174
570,9.407557155805833
571,-6.448664587740174
572,-11.660276518702359
573,-11.088326232401728
574,-5.120165170848837
575,7.743884319791709
576,-11.438585296659262
577,-3.413849135226649
578,7.304450045705663
579,-10.153242232189482
580,9.54676057910013
581,-12.824955649977896
582,-13.70209883676371
583,-8.094825632412501
584,-11.82844699225527
585,8.974538556532286
586,9.68075027179161
587,-6.181105434772957
588,-11.794646323814678
589,8.34462653238327
