episode,reward,opponent
167,-17.711441209998718,atk_bot
168,-3.6587897362303874,strong_bot
169,-11.492313278375693,weak_bot
170,-16.747269014711307,weak_bot
171,-13.703255782669466,atk_bot
172,-11.79207021781595,agent_trained_vs_attack_bot
173,7.445411484066904,strong_bot
174,-16.900705636419495,strong_bot
175,-10.98226597257766,agent2
176,-12.675331540942025,agent_trained_vs_strong_bot
177,0.0,agent_trained_vs_strong_bot
178,-18.301485565259703,agent_trained_vs_strong_bot
179,-18.14146498124342,agent4
180,-14.05310645030765,agent3
181,-13.488226864799984,atk_bot
182,-20.042124647328965,agent3
183,-32.729205427217074,weak_bot
184,-22.357430789970568,agent_trained_vs_attack_bot
185,-13.665827791570965,agent4
186,-12.677420691378474,agent3
187,-18.666185877256492,prev_self
188,-44.784252772453506,agent4
189,-9.660802018892273,agent_trained_vs_defense_bot
190,-15.278591487657785,agent3
191,0.0,agent_trained_vs_attack_bot
192,-2.4165791824761604,atk_bot
193,-21.883092626800515,strong_bot
194,-27.30515797887874,strong_bot
195,1.781312407842842,agent5_shit_agent
196,0.0,agent2
197,7.905902335826218,agent2
198,0.0,agent_trained_vs_attack_bot
199,-12.990447748604497,agent2
200,-37.60157000417444,weak_bot
201,-11.601113555290697,weak_bot
202,7.001599534154007,strong_bot
203,-35.58138783714312,def_bot
204,-14.16897568418976,agent_trained_vs_attack_bot
205,8.457543602483454,agent5_shit_agent
206,9.63806655478362,weak_bot
207,0.0,agent5_shit_agent
208,-13.193375472180815,strong_bot
209,4.3958440966453525,strong_bot
210,9.403373474030806,agent_trained_vs_league1
211,-19.49021820300607,agent4
212,6.884691987522545,agent3
213,0.0,agent_trained_vs_strong_bot
214,-30.464134184509344,agent_trained_vs_league1
215,-15.43613962305628,atk_bot
216,-5.702186540628581,agent3
217,-12.856752826513446,agent4
218,-10.888682433800193,weak_bot
219,-11.04094566852681,weak_bot
220,-12.052683657470014,agent_trained_vs_attack_bot
221,-12.346195580484228,prev_self
222,-7.062890097159597,agent3
223,-12.051531603368172,agent_trained_vs_league2
224,-22.92641579156765,agent_trained_vs_attack_bot
225,-19.230729175289465,def_bot
226,-13.669586507308697,prev_self
227,-10.644233412690195,agent_trained_vs_league1
228,-13.531012848062232,agent5_shit_agent
229,-12.938021521710604,strong_bot
230,-1.3823603144760992,agent_trained_vs_defense_bot
231,-13.697916049178247,agent4
232,-15.004554191826937,agent_trained_vs_strong_bot
233,5.21041928131991,prev_self
234,0.0,agent2
235,-4.290288503978495,def_bot
236,-12.967542915927698,atk_bot
237,-15.792923552236442,agent4
238,8.008275054695883,agent_trained_vs_strong_bot
239,-13.357233731774759,agent3
240,-10.567148251791506,agent3
241,-21.211420660497147,strong_bot
242,9.440069469604127,agent5_shit_agent
243,-20.15670687296281,agent_trained_vs_defense_bot
244,-14.086868447814652,agent_trained_vs_strong_bot
245,0.0,agent_trained_vs_attack_bot
246,-14.417793683471245,agent_trained_vs_defense_bot
247,-16.11704562116381,agent3
248,-12.419907269956697,agent5_shit_agent
249,-11.32901331138395,agent4
250,3.8484452762968573,agent4
251,0.0,agent_trained_vs_attack_bot
252,-10.883566979436177,agent2
253,-10.86978070416418,agent_trained_vs_league1
254,-12.380825484897013,agent4
255,-11.793804760911609,agent_trained_vs_league1
256,-10.253001769651293,def_bot
257,-28.974322015045637,agent_trained_vs_attack_bot
258,-12.345277009575334,agent_trained_vs_league2
259,-13.35637249964504,agent4
260,-1.8123087740904258,atk_bot
261,-7.419966431681542,def_bot
262,-10.949876309148276,agent_trained_vs_defense_bot
263,-22.190395724178046,agent_trained_vs_attack_bot
264,-11.821075231847512,agent3
265,-18.319164153275196,strong_bot
266,-14.684246885449978,strong_bot
267,7.6091335251819086,def_bot
268,-14.441279712142215,strong_bot
269,-11.956577080351376,agent4
270,-11.802471114443904,agent_trained_vs_league2
271,7.290647535216035,def_bot
272,7.230449365294456,def_bot
273,-12.160351178232585,atk_bot
274,-15.369085807968842,agent_trained_vs_defense_bot
275,-0.4710698512922904,weak_bot
276,9.168909824882954,agent4
277,-24.44225198866476,weak_bot
278,-14.187687725684889,weak_bot
279,-13.400984350712188,agent3
280,-16.011265749968075,strong_bot
281,-18.287884588066014,def_bot
282,0.0,agent5_shit_agent
283,-8.69128019268709,atk_bot
284,-13.182487261284784,weak_bot
285,-11.576922878004273,weak_bot
286,9.39128761007643,agent_trained_vs_strong_bot
287,-15.204762987521178,strong_bot
